SWV ITM Data Console - ITM Port: 0
IMU,155346,AX=0.062500,AY=-0.013672,AZ=0.936523,MX=0.444000,MY=-0.052500,MZ=-0.598500,GX=0.252739,GY=0.073810,GZ=-0.643220
IMU,155348,AX=0.062500,AY=-0.013672,AZ=0.936523,MX=0.439500,MY=-0.039000,MZ=-0.586500,GX=0.253384,GY=0.074232,GZ=-0.644278
IMU,155350,AX=0.060547,AY=-0.014648,AZ=0.934570,MX=0.439500,MY=-0.039000,MZ=-0.586500,GX=0.214341,GY=0.060434,GZ=-0.620986
IMU,155352,AX=0.060547,AY=-0.014648,AZ=0.934570,MX=0.439500,MY=-0.039000,MZ=-0.586500,GX=0.109141,GY=0.028181,GZ=-0.564399
IMU,155354,AX=0.060547,AY=-0.014648,AZ=0.934570,MX=0.439500,MY=-0.039000,MZ=-0.586500,GX=0.008981,GY=-0.001425,GZ=-0.511960
IMU,155356,AX=0.060547,AY=-0.014648,AZ=0.934570,MX=0.439500,MY=-0.039000,MZ=-0.586500,GX=-0.031684,GY=-0.013153,GZ=-0.491050
IMU,155358,AX=0.060547,AY=-0.014648,AZ=0.934570,MX=0.435000,MY=-0.036000,MZ=-0.585000,GX=-0.070576,GY=-0.033898,GZ=-0.528397
IMU,155360,AX=0.060547,AY=-0.013672,AZ=0.936523,MX=0.435000,MY=-0.036000,MZ=-0.585000,GX=-0.160164,GY=-0.085550,GZ=-0.635029
IMU,155362,AX=0.060547,AY=-0.013672,AZ=0.936523,MX=0.435000,MY=-0.036000,MZ=-0.585000,GX=-0.247342,GY=-0.135320,GZ=-0.735306
IMU,155364,AX=0.060547,AY=-0.013672,AZ=0.936523,MX=0.435000,MY=-0.036000,MZ=-0.585000,GX=-0.283237,GY=-0.155685,GZ=-0.775689
IMU,155366,AX=0.060547,AY=-0.013672,AZ=0.936523,MX=0.435000,MY=-0.036000,MZ=-0.585000,GX=-0.285326,GY=-0.156792,GZ=-0.777485
IMU,155368,AX=0.060547,AY=-0.013672,AZ=0.936523,MX=0.430500,MY=-0.036000,MZ=-0.597000,GX=-0.277671,GY=-0.121879,GZ=-0.720181
IMU,155370,AX=0.058594,AY=-0.011719,AZ=0.942383,MX=0.430500,MY=-0.036000,MZ=-0.597000,GX=-0.272007,GY=-0.037136,GZ=-0.584635
IMU,155372,AX=0.058594,AY=-0.011719,AZ=0.942383,MX=0.430500,MY=-0.036000,MZ=-0.597000,GX=-0.270138,GY=0.041438,GZ=-0.459819
IMU,155374,AX=0.058594,AY=-0.011719,AZ=0.942383,MX=0.430500,MY=-0.036000,MZ=-0.597000,GX=-0.270313,GY=0.072780,GZ=-0.410265
IMU,155376,AX=0.058594,AY=-0.011719,AZ=0.942383,MX=0.430500,MY=-0.036000,MZ=-0.597000,GX=-0.270902,GY=0.073986,GZ=-0.408507
IMU,155378,AX=0.058594,AY=-0.011719,AZ=0.942383,MX=0.417000,MY=-0.051000,MZ=-0.598500,GX=-0.239463,GY=0.045270,GZ=-0.491039
IMU,155380,AX=0.064453,AY=-0.012695,AZ=0.944336,MX=0.417000,MY=-0.051000,MZ=-0.598500,GX=-0.154640,GY=-0.017537,GZ=-0.689281
IMU,155382,AX=0.064453,AY=-0.012695,AZ=0.944336,MX=0.417000,MY=-0.051000,MZ=-0.598500,GX=-0.073864,GY=-0.074054,GZ=-0.872690
IMU,155384,AX=0.064453,AY=-0.012695,AZ=0.944336,MX=0.417000,MY=-0.051000,MZ=-0.598500,GX=-0.041064,GY=-0.096130,GZ=-0.945742
IMU,155386,AX=0.064453,AY=-0.012695,AZ=0.944336,MX=0.417000,MY=-0.051000,MZ=-0.598500,GX=-0.001288,GY=-0.096684,GZ=-0.981545
